setsockopt: Protocol not available
397.273 112.668 106 0
375.87 358.252 172 2
396.898 113.595 112 1
374.88 358.391 172 0
396.623 114.557 106 2
373.889 358.53 172 0
396.449 115.541 100 2
372.899 358.67 172 0
396.379 116.539 94 2
371.929 358.912 166 2
396.414 117.538 88 2
370.989 359.254 160 2
396.553 118.529 82 2
370.09 359.692 154 2
396.588 119.528 88 1
369.242 360.222 148 2
396.623 120.527 88 0
368.394 360.752 148 0
396.658 121.527 88 0
367.546 361.282 148 0
396.693 122.526 88 0
366.647 361.72 154 1
396.728 123.526 88 0
365.749 362.158 154 0
396.763 124.525 88 0
364.85 362.597 154 0
396.902 125.515 82 2
364.002 363.127 148 2
397.144 126.485 76 2
363.103 363.565 154 1
397.486 127.425 70 2
362.163 363.907 160 1
397.828 128.365 70 0
361.193 364.149 166 1
398.17 129.305 70 0
360.203 364.288 172 1
398.512 130.244 70 0
359.203 364.323 178 1
398.854 131.184 70 0
358.204 364.358 178 0
399.096 132.154 76 1
357.206 364.288 184 1
399.235 133.145 82 1
356.222 364.115 190 1
399.477 134.115 76 2
355.26 363.839 196 1
399.719 135.085 76 0
354.299 363.563 196 0
399.961 136.055 76 0
353.338 363.288 196 0
400.203 137.026 76 0
352.376 363.012 196 0
400.444 137.996 76 0
351.392 362.838 190 2
400.686 138.966 76 0
350.394 362.769 184 2
400.826 139.957 82 1
349.397 362.699 184 0
400.965 140.947 82 0
348.399 362.629 184 0
401.104 141.937 82 0
347.401 362.559 184 0
401.139 142.936 88 1
346.417 362.386 190 1
401.069 143.934 94 1
345.455 362.11 196 1
400.895 144.919 100 1
344.528 361.735 202 1
400.62 145.88 106 1
343.567 361.46 196 2
400.245 146.807 112 1
342.582 361.286 190 2
399.776 147.69 118 1
341.585 361.216 184 2
399.217 148.519 124 1
340.587 361.147 184 0
398.657 149.348 124 0
339.588 361.182 178 2
398.098 150.177 124 0
338.597 361.321 172 2
397.629 151.06 118 2
337.607 361.46 172 0
397.069 151.889 124 1
336.608 361.495 178 1
396.427 152.655 130 1
335.61 361.425 184 1
395.707 153.35 136 1
334.613 361.355 184 0
395.065 154.116 130 2
333.615 361.286 184 0
394.505 154.945 124 2
332.617 361.216 184 0
393.946 155.774 124 0
331.633 361.042 190 1
393.303 156.54 130 1
330.648 360.869 190 0
392.584 157.235 136 1
329.663 360.695 190 0
391.865 157.93 136 0
328.702 360.419 196 1
391.145 158.624 136 0
327.717 360.246 190 2
390.426 159.319 136 0
326.719 360.176 184 2
389.707 160.013 136 0
325.72 360.211 178 2
389.064 160.78 130 2
324.73 360.35 172 2
388.505 161.609 124 2
323.759 360.592 166 2
387.946 162.438 124 0
322.82 360.934 160 2
387.386 163.267 124 0
321.849 361.176 166 1
386.827 164.096 124 0
320.859 361.315 172 1
386.184 164.862 130 1
319.869 361.454 172 0
385.465 165.556 136 1
318.869 361.489 178 1
384.677 166.172 142 1
317.872 361.419 184 1
383.829 166.702 148 1
316.887 361.246 190 1
382.981 167.232 148 0
315.89 361.176 184 2
382.133 167.762 148 0
314.89 361.211 178 2
381.345 168.377 142 2
313.9 361.35 172 2
380.625 169.072 136 2
312.93 361.592 166 2
379.983 169.838 130 2
311.99 361.934 160 2
379.263 170.533 136 1
311.091 362.372 154 2
378.544 171.227 136 0
310.243 362.902 148 2
377.825 171.922 136 0
309.455 363.518 142 2
377.105 172.617 136 0
308.736 364.212 136 2
376.317 173.232 142 1
308.016 364.907 136 0
375.469 173.762 148 1
307.297 365.602 136 0
374.681 174.378 142 2
306.654 366.368 130 2
373.833 174.908 148 1
305.935 367.062 136 1
372.934 175.346 154 1
305.147 367.678 142 1
372.086 175.876 148 2
304.428 368.373 136 2
371.298 176.492 142 2
303.785 369.139 130 2
370.579 177.187 136 2
303.226 369.968 124 2
369.791 177.802 142 1
302.666 370.797 124 0
368.943 178.332 148 1
302.024 371.563 130 1
368.044 178.771 154 1
301.304 372.258 136 1
367.196 179.3 148 2
300.585 372.952 136 0
366.297 179.739 154 1
299.866 373.647 136 0
365.358 180.081 160 1
299.146 374.342 136 0
364.418 180.423 160 0
298.503 375.108 130 2
363.448 180.665 166 1
297.861 375.874 130 0
362.457 180.804 172 1
297.218 376.64 130 0
361.458 180.839 178 1
296.659 377.469 124 2
360.468 180.978 172 2
296.189 378.352 118 2
359.497 181.22 166 2
295.815 379.279 112 2
358.527 181.462 166 0
295.539 380.24 106 2
357.557 181.704 166 0
295.365 381.225 100 2
356.587 181.946 166 0
295.296 382.223 94 2
355.616 182.188 166 0
295.33 383.222 88 2
354.626 182.327 172 1
295.365 384.221 88 0
353.627 182.362 178 1
295.4 385.221 88 0
352.636 182.501 172 2
295.435 386.22 88 0
351.646 182.64 172 0
295.47 387.219 88 0
350.656 182.779 172 0
295.505 388.219 88 0
